Time (s),P_PCC (pu),P_down (pu),P_up (pu)
0.38613861386138626,0.7385086356620488,0.6579501345932858,1.2
0.3867386738673868,0.7388594964785493,0.6582126114623943,1.2
0.38733873387338735,0.7392100381246585,0.6584748514803951,1.2
0.3879387938793881,0.7395602608582251,0.65873685485479,1.2
0.38853885388538867,0.7399101649373141,0.658998621793002,1.2
0.3891389138913892,0.7402597506202001,0.6592601525023722,1.2
0.38973897389738976,0.7406090181653621,0.6595214471901597,1.2
0.39033903390339053,0.7409579678314773,0.6597825060635384,1.2
0.3909390939093911,0.7413065998774147,0.660043329329596,1.2
0.3915391539153916,0.7416549145622304,0.6603039171953329,1.2
0.39213921392139217,0.7420029121451615,0.6605642698676604,1.2
0.39273927392739294,0.7423505928856199,0.6608243875533979,1.2
0.3933393339333935,0.742697957043188,0.661084270459274,1.2
0.39393939393939403,0.7430450048776117,0.6613439187919223,1.2
0.3945394539453946,0.7433917366487969,0.6616033327578823,1.2
0.39513951395139535,0.7437381526168028,0.6618625125635956,1.2
0.3957395739573959,0.7440842530418368,0.6621214584154069,1.2
0.39633963396339644,0.74443003818425,0.6623801705195613,1.2
0.396939693969397,0.744775508304532,0.6626386490822027,1.2
0.39753975397539776,0.7451206636633053,0.6628968943093735,1.2
0.3981398139813983,0.7454655045213208,0.6631549064070124,1.2
0.39873987398739885,0.7458100311394529,0.6634126855809536,1.2
0.3993399339933994,0.7461542437786945,0.6636702320369259,1.2
0.39993999399939995,0.746498142700153,0.6639275459805507,1.2
0.4005400540054007,0.7468417281650442,0.6641846276173409,1.2
0.40114011401140126,0.7471850004346889,0.6644414771527003,1.2
0.4017401740174018,0.747527959770508,0.6646980947919223,1.2
0.40234023402340235,0.7478706064340178,0.6649544807401884,1.2
0.4029402940294031,0.7482129406868256,0.6652106352025671,1.2
0.40354035403540367,0.7485549627906263,0.6654665583840133,1.2
0.4041404140414042,0.7488966730071958,0.6657222504893666,1.2
0.40474047404740476,0.7492380715983891,0.6659777117233512,1.2
0.40534053405340553,0.7495791588261356,0.6662329422905733,1.2
0.4059405940594061,0.7499199349524335,0.6664879423955219,1.2
0.4065406540654066,0.7502604002393473,0.6667427122425665,1.2
0.4071407140714072,0.7506005549490035,0.6669972520359568,1.2
0.40774077407740794,0.750940399343586,0.6672515619798212,1.2
0.4083408340834085,0.7512799336853327,0.6675056422781667,1.2
0.40894089408940903,0.7516191582365315,0.6677594931348769,1.2
0.4095409540954096,0.7519580732595162,0.6680131147537123,1.2
0.41014101410141035,0.7522966790166639,0.668266507338308,1.2
0.4107410741074109,0.7526349757703893,0.6685196710921744,1.2
0.41134113411341144,0.7529729637831429,0.6687726062186952,1.2
0.411941194119412,0.7533106433174066,0.6690253129211272,1.2
0.41254125412541276,0.7536480146356902,0.6692777914025986,1.2
0.4131413141314133,0.7539850780005274,0.6695300418661096,1.2
0.41374137413741385,0.7543218336744735,0.6697820645145307,1.2
0.4143414341434144,0.7546582819201012,0.6700338595506015,1.2
0.41494149414941495,0.7549944229999974,0.6702854271769314,1.2
0.4155415541554157,0.7553302571767596,0.670536767595997,1.2
0.41614161416141626,0.7556657847129931,0.6707878810101434,1.2
0.4167416741674168,0.7560010058713074,0.6710387676215819,1.2
0.41734173417341736,0.7563359209143135,0.67128942763239,1.2
0.4179417941794181,0.7566705301046202,0.6715398612445103,1.2
0.41854185418541867,0.7570048337048312,0.6717900686597505,1.2
0.4191419141914192,0.7573388319775425,0.6720400500797824,1.2
0.41974197419741976,0.7576725251853385,0.6722898057061409,1.2
0.42034203420342053,0.7580059135907902,0.6725393357402241,1.2
0.4209420942094211,0.7583389974564507,0.6727886403832917,1.2
0.4215421542154216,0.7586717770448539,0.6730377198364657,1.2
