Time,Signal
0.0,0.4983225124592452
0.00010000000000021103,0.49828712109955714
0.00019999999999997797,0.4982506244111887
0.000300000000000189,0.4982187936325963
0.00039999999999995595,0.4981932489728857
0.000500000000000167,0.4981754292889573
0.0005999999999999339,0.4981666131008661
0.000700000000000145,0.4981679330750239
0.0007999999999999119,0.49818038843493045
0.0009000000000001229,0.4982048608234121
0.0009999999999998899,0.49824212191542655
0.001100000000000101,0.498292843930051
0.0011999999999998678,0.4983576059917607
0.0013000000000000789,0.49843690188331746
0.0013999999999998458,0.4985311458514264
0.0015000000000000568,0.4986406791002445
0.0015999999999998238,0.4987657750624286
0.0017000000000000348,0.4989066452062553
0.0017999999999998018,0.4990634438982989
0.0019000000000000128,0.49923627370315227
0.0019999999999997797,0.49942518992551604
0.0020999999999999908,0.49963020546598846
0.002200000000000202,0.4998512950749138
0.0022999999999999687,0.5000883997990759
0.0024000000000001798,0.5003414309484775
0.0024999999999999467,0.5006102741567078
0.0026000000000001577,0.500894793051289
0.0026999999999999247,0.501194832942318
0.0028000000000001357,0.5015102241856109
0.0028999999999999027,0.5018407855086964
0.0030000000000001137,0.5021863270575461
0.0030999999999998806,0.5025466533661842
0.0032000000000000917,0.502921566080523
0.0032999999999998586,0.5033108665766818
0.0034000000000000696,0.503714358357631
0.0034999999999998366,0.5041318493253267
0.0036000000000000476,0.5045631538488935
0.0036999999999998145,0.5050080946960297
0.0038000000000000256,0.5054665047744202
0.0038999999999997925,0.5059382287292168
0.0040000000000000036,0.5064231243617172
0.004100000000000215,0.506921063901226
0.0041999999999999815,0.5074319351081472
0.0043000000000001926,0.5079556422303709
0.0043999999999999595,0.5084921068001048
0.0045000000000001705,0.5090412682872563
0.0045999999999999375,0.5096030846019376
0.0047000000000001485,0.5101775324593247
0.0047999999999999154,0.5107646076025246
0.0049000000000001265,0.5113643248948229
0.004999999999999893,0.5119767182802547
0.0051000000000001044,0.5126018406215814
0.005199999999999871,0.5132397634176513
0.005300000000000082,0.5138905764075744
0.005399999999999849,0.5145543870654966
0.00550000000000006,0.515231319993593
0.005599999999999827,0.5159215162171115
0.005700000000000038,0.5166251323893983
0.005799999999999805,0.5173423399114817
0.005900000000000016,0.5180733239744694
0.005999999999999783,0.5188182825292108
0.006099999999999994,0.5195774251914197
0.006200000000000205,0.5203509720883321
0.006299999999999972,0.521139152653352
0.006400000000000183,0.52194220437579
0.00649999999999995,0.5227603715130116
0.006600000000000161,0.5235939037703824
0.006699999999999928,0.524442588193731
0.006800000000000139,0.52530513461498
0.006899999999999906,0.5261805984710702
0.007000000000000117,0.5270679641631996
0.007099999999999884,0.5279661826419637
0.007200000000000095,0.5288742040254445
0.007299999999999862,0.529791002861231
0.007400000000000073,0.53071559934022
0.00749999999999984,0.5316470750041392
0.007600000000000051,0.5325845845140841
0.007699999999999818,0.5335273634108691
0.007800000000000029,0.5344747324974715
0.007899999999999796,0.5354258662171392
0.008000000000000007,0.5363797718965645
0.008100000000000218,0.5373356825424186
0.008199999999999985,0.5382929268935451
0.008300000000000196,0.5392509409331605
0.008399999999999963,0.5402092623750553
0.008500000000000174,0.5411675226504806
0.008599999999999941,0.5421254371397435
0.008700000000000152,0.5430827948061335
0.008799999999999919,0.5440394478411158
0.00890000000000013,0.5449953017775956
0.008999999999999897,0.5459503063406591
0.009100000000000108,0.5469044472062851
0.009199999999999875,0.5478577387354004
0.009300000000000086,0.5488102177001883
0.009399999999999853,0.5497619379661155
0.009500000000000064,0.5507129660714337
0.009599999999999831,0.551663377620763
0.009700000000000042,0.5526132544052057
0.009799999999999809,0.5535626821528542
0.00990000000000002,0.5545117488177259
0.009999999999999787,0.5554605433170346
0.010099999999999998,0.5564091546340292
0.010200000000000209,0.5573576712109277
0.010299999999999976,0.5583061805645538
0.010400000000000187,0.5592547690665536
0.010499999999999954,0.5602035218381218
0.010600000000000165,0.5611525227174557
0.010699999999999932,0.562101854266369
0.010800000000000143,0.5630515977890082
0.01089999999999991,0.564001833342055
0.01100000000000012,0.5649526397216693
0.011099999999999888,0.5659040944168181
0.011200000000000099,0.5668562735234921
0.011299999999999866,0.5678092516164467
0.011400000000000077,0.5687631015793906
0.011499999999999844,0.5697178943954274
0.011600000000000055,0.5706736989019896
0.011699999999999822,0.5716305815153226
0.011800000000000033,0.572588605930371
0.0118999999999998,0.5735478328028358
0.01200000000000001,0.5745083194196076
0.012100000000000222,0.5754701193642207
0.012199999999999989,0.5764332821836404
0.0123000000000002,0.5773978530623428
0.012399999999999967,0.5783638725090201
0.012500000000000178,0.5793313760606622
0.012599999999999945,0.5803003940086668
0.012700000000000156,0.5812709511503251
0.012799999999999923,0.5822430665688085
0.012900000000000134,0.5832167534443985
0.0129999999999999,0.5841920188982979
0.013100000000000112,0.5851688638711612
0.013199999999999878,0.5861472830361919
0.01330000000000009,0.5871272647482493
0.013399999999999856,0.5881087910281465
0.013500000000000068,0.5890918375822437
0.013599999999999834,0.5900763738563021
0.013700000000000045,0.5910623631227806
0.013799999999999812,0.5920497626003451
0.013900000000000023,0.5930385236040573
0.01399999999999979,0.5940285917245575
0.014100000000000001,0.5950199070348822
0.014200000000000212,0.5960124043224675
0.01429999999999998,0.5970060133447574
0.01440000000000019,0.5980006591065963
0.014499999999999957,0.598996262156857
0.014600000000000168,0.5999927389023442
0.014699999999999935,0.6009900019373688
0.014800000000000146,0.6019879603861237
0.014899999999999913,0.6029865202563525
0.015000000000000124,0.6039855848019883
0.015099999999999891,0.6049850548929044
0.015200000000000102,0.6059848293894334
0.01529999999999987,0.6069848055198229
0.01540000000000008,0.6079848792586264
0.015499999999999847,0.6089849457052882
0.015600000000000058,0.609984899458978
0.015699999999999825,0.6109846349902787
0.015800000000000036,0.611984047005027
0.015899999999999803,0.6129830308014749
0.016000000000000014,0.6139814826183296
0.01609999999999978,0.6149792999717401
0.016199999999999992,0.615976381980054
0.016300000000000203,0.616972629675458
0.01639999999999997,0.6179679463005444
0.01650000000000018,0.6189622375892009
0.016599999999999948,0.6199554120307024
0.01670000000000016,0.6209473811157816
0.016799999999999926,0.6219380595639603
0.016900000000000137,0.6229273655317831
0.016999999999999904,0.6239152208005581
0.017100000000000115,0.6249015509437217
0.017199999999999882,0.6258862854730681
0.017300000000000093,0.6268693579635356
0.01739999999999986,0.6278507061565065
0.01750000000000007,0.6288302720415164
0.017599999999999838,0.6298080019159451
0.01770000000000005,0.6307838464234649
0.017799999999999816,0.6317577605710837
0.017900000000000027,0.6327297037250718
0.017999999999999794,0.6336996395863167
0.018100000000000005,0.6346675361457201
0.018200000000000216,0.6356333656200173
0.018299999999999983,0.6365971043689295
0.018400000000000194,0.6375587327944994
0.01849999999999996,0.6385182352231329
0.018600000000000172,0.6394755997717083
0.01869999999999994,0.6404308181985411
0.01880000000000015,0.6413838857403386
0.018899999999999917,0.6423348009364057
0.019000000000000128,0.6432835654410365
0.019099999999999895,0.6442301838255421
0.019200000000000106,0.6451746633710042
0.019299999999999873,0.646117013853393
0.019400000000000084,0.6470572473219447
0.01949999999999985,0.6479953778722246
0.019600000000000062,0.6489314214156033
0.01969999999999983,0.649865395445802
0.01980000000000004,0.6507973188044851
0.019899999999999807,0.6517272114468217
0.020000000000000018,0.6526550942084377
0.020099999999999785,0.6539474066462658
0.020199999999999996,0.6552951253354251
0.020300000000000207,0.6566593962784364
0.020399999999999974,0.6580377517758941
0.020500000000000185,0.6594279241853381
0.02059999999999995,0.6608300064746918
0.020700000000000163,0.6622474905740697
0.02079999999999993,0.6636835517386206
0.02090000000000014,0.6651405100307696
0.020999999999999908,0.6666194668313989
0.02110000000000012,0.6681203978684067
0.021199999999999886,0.6696424822208368
0.021300000000000097,0.6711844520752273
0.021399999999999864,0.6727448932794488
0.021500000000000075,0.6743224567994499
0.02159999999999984,0.6759159912741974
0.021700000000000053,0.6775246016595227
0.02179999999999982,0.6791476558322979
0.02190000000000003,0.6807847506388733
0.021999999999999797,0.6824356572298618
0.02210000000000001,0.6841002558464006
0.02220000000000022,0.685778475141913
0.022299999999999986,0.6874702418360447
0.022400000000000198,0.689175447237995
0.022499999999999964,0.690893928798773
0.022600000000000176,0.692625465369511
