"time","gFM_VSM_cc.measurementPcc.PGenPu"
4.762,0.4999951171754983
4.763,0.4999950771059706
4.764,0.4999950381190469
4.765,0.4999950002304259
4.766,0.499994963455805
4.767,0.4999949278108827
4.768,0.4999948933113569
4.769,0.4999948599729254
4.77,0.4999948278112864
4.771,0.4999947968421377
4.772,0.4999947670811777
4.773,0.4999947385441041
4.774,0.499994711246615
4.775,0.4999946852044085
4.776,0.4999946604331826
4.777,0.499994636948635
4.778,0.4999946147664643
4.779,0.499994593902368
4.78,0.4999945743720445
4.781,0.4999945561911914
4.782,0.499994539375507
4.783,0.4999945239406892
4.784,0.4999945099024363
4.785,0.4999944972764458
4.786,0.499994486078416
4.787,0.4999944763240449
4.788,0.4999944680290307
4.789,0.4999944612090713
4.79,0.4999944558798645
4.791,0.4999944520571084
4.792,0.4999944473464317
4.793,0.4999944409798811
4.794,0.4999944359091262
4.795,0.4999944321459174
4.796,0.4999944297020046
4.797,0.499994428589138
4.798,0.4999944288190677
4.799,0.4999944304035439
4.8,0.4999944333543163
4.801,0.4999944376831356
4.802,0.4999944434017514
4.803,0.4999944505219141
4.804,0.4999944590553737
4.805,0.4999944690138804
4.806,0.4999944804091841
4.807,0.4999944932530352
4.808,0.4999945075571836
4.809,0.4999945233333794
4.81,0.4999945405933727
4.811,0.4999945593489138
4.812,0.4999945796117526
4.813,0.4999946013936394
4.814,0.4999946247063242
4.815,0.4999946495615568
4.816,0.4999946759710878
4.817,0.4999947039466671
4.818,0.4999947335000449
4.819,0.4999947646429708
4.82,0.4999947973871958
4.821,0.4999948317444692
4.822,0.4999948677265416
4.823,0.4999949053451628
4.824,0.499994944612083
4.825,0.4999949855390525
4.826,0.4999950281378214
4.827,0.4999950724201394
4.828,0.499995118397757
4.829,0.4999951660824241
4.83,0.4999952154858909
4.831,0.4999952666199073
4.832,0.4999953194962238
4.833,0.4999953741265901
4.834,0.4999954305227566
4.835,0.4999954886964734
4.836,0.4999955486594904
4.837,0.4999956104235577
4.838,0.4999956740004256
4.839,0.4999957394018441
4.84,0.4999958066395634
4.841,0.4999958757253335
4.842,0.4999959466709044
4.843,0.4999960194880264
4.844,0.4999960941884495
4.845,0.4999961707839239
4.846,0.4999962492861996
4.847,0.4999963297070269
4.848,0.4999964120581556
4.849,0.4999964963513359
4.85,0.499996582598318
4.851,0.499996670810852
4.852,0.499996761000688
4.853,0.499996853179576
4.854,0.4999969473592663
4.855,0.4999970435515087
4.856,0.4999971225826659
4.857,0.4999971897618567
4.858,0.4999972574748366
4.859,0.4999973257102213
4.86,0.4999973944566268
4.861,0.4999974637026687
4.862,0.4999975334369632
4.863,0.4999976036481259
4.864,0.4999976743247728
4.865,0.4999977454555198
4.866,0.4999978170289823
4.867,0.4999978890337767
4.868,0.4999979614585187
4.869,0.499998034291824
4.87,0.4999981075223084
4.871,0.4999981811385881
4.872,0.4999982551292789
4.873,0.4999983294829962
4.874,0.4999984041883562
4.875,0.4999984792339748
4.876,0.4999985546084678
4.877,0.4999986303004507
4.878,0.4999987062985399
4.879,0.4999987825913511
4.88,0.4999988591674999
4.881,0.4999989360156024
4.882,0.4999990131242744
4.883,0.4999990904821315
4.884,0.49999916807779
4.885,0.4999992458998654
4.886,0.4999993239369737
4.887,0.4999994021777307
4.888,0.4999994806107523
4.889,0.4999995592246543
4.89,0.4999996380080526
4.891,0.499999716949563
4.892,0.4999997960378015
4.893,0.4999998752613839
4.894,0.4999999546089259
4.895,0.5000000340690433
4.896,0.5000001136303522
4.897,0.5000001932814685
4.898,0.5000002730110076
4.899,0.5000003528075859
4.9,0.5000004326598187
4.901,0.5000005125563226
4.902,0.5000005924857128
4.903,0.5000006724366053
4.904,0.500000752397616
4.905,0.5000008323573609
4.906,0.5000009123044555
4.907,0.5000009922275159
4.908,0.5000010721151583
4.909,0.5000011519559978
4.91,0.5000012317386509
4.911,0.5000013114517331
4.912,0.5000013910838601
4.913,0.5000014706236482
4.914,0.500001550059713
4.915,0.5000016293806704
4.916,0.5000017085751363
4.917,0.5000017876317265
4.918,0.5000018665390568
4.919,0.5000019452857428
4.92,0.5000020181834709
4.921,0.5000020887880783
4.922,0.5000021588431175
4.923,0.5000022283317969
4.924,0.5000022972373237
4.925,0.5000023655429064
4.926,0.5000024332317528
4.927,0.5000025002870706
4.928,0.5000025666920679
4.929,0.5000026324299524
4.93,0.5000026974839321
4.931,0.5000027618372151
4.932,0.5000028254730091
4.933,0.5000028883745218
4.934,0.5000029505249617
4.935,0.5000030119075362
4.936,0.5000030725054532
4.937,0.5000031323019207
4.938,0.5000031912801469
4.939,0.5000032494233395
4.94,0.5000033067147061
4.941,0.5000033631374551
4.942,0.5000034186747938
4.943,0.5000034733099309
4.944,0.5000035270260736
4.945,0.5000035798064303
4.946,0.5000036316342084
4.947,0.5000036824926163
4.948,0.5000037323648614
4.949,0.5000037812341521
4.95,0.5000038290836962
4.951,0.5000038758967014
4.952,0.5000039216563755
4.953,0.500003966345927
4.954,0.5000040099485632
4.955,0.5000040524474921
4.956,0.5000040938259217
4.957,0.5000041340670602
4.958,0.5000041731541151
4.959,0.5000042110702941
4.96,0.5000042477988058
4.961,0.5000042833228575
4.962,0.5000043176256574
4.963,0.5000043506904135
4.964,0.5000043825003334
4.965,0.5000044130386251
4.966,0.5000044422884966
4.967,0.5000044702331558
4.968,0.5000044968558105
4.969,0.5000045221396686
4.97,0.500004546067938
4.971,0.5000045686238268
4.972,0.5000045897905426
4.973,0.5000046095512936
4.974,0.5000046278892876
4.975,0.5000046447877325
4.976,0.500004660229836
4.977,0.5000046741988061
4.978,0.500004686677851
4.979,0.5000046976501783
4.98,0.5000047070989959
4.981,0.5000047150075121
4.982,0.5000047213589339
4.983,0.5000047261364704
4.984,0.5000047409233676
4.985,0.5000047557293849
4.986,0.5000047695109417
4.987,0.5000047822603676
4.988,0.5000047939699915
4.989,0.5000048046321425
4.99,0.5000048142391499
4.991,0.5000048227833425
4.992,0.5000048302570493
4.993,0.5000048366526
4.994,0.5000048419623234
4.995,0.5000048461785485
4.996,0.5000048492936044
4.997,0.5000048512998203
4.998,0.5000048521895253
4.999,0.5000048519550486
5,0.5000048505887194
5.001,0.5000048480828663
5.002,0.5000048444298191
5.003,0.5000048396219063
5.004,0.5000048336514576
5.005,0.5000048265108016
5.006,0.5000048181922675
5.007,0.5000048086881848
5.008,0.5000047979908819
5.009,0.5000047860926886
5.01,0.5000047729859337
5.011,0.5000047586629462
5.012,0.5000047431160556
5.013,0.5000047263375909
5.014,0.5000047083198806
5.015,0.5000046890552547
5.016,0.5000046685360418
5.017,0.500004646754571
5.018,0.5000046237031716
5.019,0.5000045993741725
5.02,0.5000045737599033
5.021,0.5000045468526925
5.022,0.5000045186448694
5.023,0.5000044891287632
5.024,0.5000044582967029
5.025,0.5000044261410181
5.026,0.5000043926540372
5.027,0.5000043578280896
5.028,0.5000043216555045
5.029,0.500004284128611
5.03,0.5000042452397379
5.031,0.5000042049812148
5.032,0.5000041633453703
5.033,0.5000041203245339
5.034,0.5000040759110348
5.035,0.5000040300972016
5.036,0.5000039828753639
5.037,0.5000039342378504
5.038,0.5000038841769906
5.039,0.5000038326851134
5.04,0.5000037797545479
5.041,0.5000037253776231
5.042,0.5000036695466686
5.043,0.5000036122540128
5.044,0.5000035534919854
5.045,0.5000034932529153
5.046,0.5000034315291313
5.047,0.5000033695644657
5.048,0.5000033223223024
5.049,0.5000032743853048
5.05,0.5000032257583239
5.051,0.5000031764462115
5.052,0.5000031264538184
5.053,0.5000030757859958
5.054,0.5000030244475954
5.055,0.500002972443468
5.056,0.5000029197784653
5.057,0.5000028664574385
5.058,0.5000028124852386
5.059,0.5000027578667171
5.06,0.5000027026067253
5.061,0.5000026467101144
5.062,0.5000025901817357
5.063,0.5000025330264402
5.064,0.5000024752490797
5.065,0.5000024168545051
5.066,0.500002357847568
5.067,0.500002298233119
5.068,0.5000022380160101
5.069,0.5000021772010921
5.07,0.5000021157932166
5.071,0.5000020537972349
5.072,0.5000019912179979
5.073,0.5000019280603573
5.074,0.5000018643291639
5.075,0.5000018000292694
5.076,0.5000017351655252
5.077,0.5000016697427819
5.078,0.5000016037658913
5.079,0.5000015372397044
5.08,0.500001470169073
5.081,0.5000014025588477
5.082,0.5000013344138801
5.083,0.5000012657390215
5.084,0.5000011965391231
5.085,0.5000011268190363
5.086,0.5000010565836122
5.087,0.500000985837702
5.088,0.5000009145861571
5.089,0.5000008428338291
5.09,0.5000007705855688
5.091,0.5000006978462276
5.092,0.5000006246206568
5.093,0.5000005509137078
5.094,0.5000004767302317
5.095,0.5000004020750799
5.096,0.5000003269531037
5.097,0.5000002513691542
5.098,0.5000001753280826
5.099,0.5000000988347405
5.1,0.500000021893979
5.101,0.4999999445106494
5.102,0.499999866689603
5.103,0.499999788435691
5.104,0.4999997097537649
5.105,0.4999996306486755
5.106,0.4999995511252744
5.107,0.4999994711884131
5.108,0.4999993908429425
5.109,0.4999993100937138
5.11,0.4999992289455788
5.111,0.4999991500289045
5.112,0.499999079886462
5.113,0.4999990100298208
5.114,0.4999989404807811
5.115,0.4999988712613168
5.116,0.4999988023935754
5.117,0.4999987338998788
5.118,0.4999986658027223
5.119,0.4999985981247754
5.12,0.4999985308888812
5.121,0.4999984641180565
5.122,0.4999983978354922
5.123,0.4999983320645531
5.124,0.4999982668287777
5.125,0.499998202151878
5.126,0.4999981380577406
5.127,0.4999980745704256
5.128,0.4999980117141667
5.129,0.4999979495133713
5.13,0.4999978879926217
5.131,0.4999978271766728
5.132,0.4999977670904538
5.133,0.4999977077590683
5.134,0.4999976492077928
5.135,0.4999975914620782
5.136,0.4999975345475493
5.137,0.4999974784900045
5.138,0.4999974233154159
5.139,0.4999973690499299
5.14,0.4999973157198662
5.141,0.4999972633517192
5.142,0.4999972119721561
5.143,0.4999971616080187
5.144,0.4999971122863222
5.145,0.4999970640342559
5.146,0.499997016879183
5.147,0.4999969708486401
5.148,0.4999969259703381
5.149,0.4999968822721616
5.15,0.4999968397821692
5.151,0.499996798528593
5.152,0.4999967585398393
5.153,0.4999967198444876
5.154,0.4999966824712923
5.155,0.4999966464491806
5.156,0.4999966118072542
5.157,0.4999965785747886
5.158,0.4999965467812327
5.159,0.4999965164562095
5.16,0.4999964876295162
5.161,0.4999964603311232
5.162,0.4999964345911753
5.163,0.4999964104399904
5.164,0.4999963879080613
5.165,0.4999963670260539
5.166,0.4999963478248081
5.167,0.4999963303353375
5.168,0.4999963145888303
5.169,0.4999963006166471
5.17,0.4999962884503238
5.171,0.4999962781215692
5.172,0.4999962696622668
5.173,0.499996263104473
5.174,0.4999962584804183
5.175,0.4999962498439908
5.176,0.4999962331521928
5.177,0.4999962175848917
5.178,0.4999962031521284
5.179,0.4999961898638842
5.18,0.499996177730079
5.181,0.4999961667605728
5.182,0.4999961569651651
5.183,0.4999961483535945
5.184,0.4999961409355393
5.185,0.4999961347206176
5.186,0.4999961297183864
5.187,0.4999961259383426
5.188,0.4999961233899226
5.189,0.4999961220825019
5.19,0.4999961220253962
5.191,0.4999961232278598
5.192,0.4999961256990874
5.193,0.4999961294482124
5.194,0.4999961344843082
5.195,0.4999961408163875
5.196,0.4999961484534027
5.197,0.4999961574042454
5.198,0.4999961676777468
5.199,0.4999961792826779
5.2,0.4999961922277483
5.201,0.4999962065216085
5.202,0.4999962221728469
5.203,0.4999962391899928
5.204,0.4999962575815142
5.205,0.4999962773558186
5.206,0.4999962985212535
5.207,0.4999963210861053
5.208,0.4999963450586004
5.209,0.4999963704469043
5.21,0.4999963972591221
5.211,0.4999964255032985
5.212,0.4999964551874177
5.213,0.4999964863194034
5.214,0.4999965189071187
5.215,0.4999965529583659
5.216,0.4999965884808874
5.217,0.499996625482365
5.218,0.4999966639704193
5.219,0.4999967039526114
5.22,0.4999967454364411
5.221,0.4999967884293479
5.222,0.4999968329387112
5.223,0.4999968789718492
5.224,0.4999969265360204
5.225,0.4999969756384219
5.226,0.499997026286191
5.227,0.4999970784864044
5.228,0.4999971322460777
5.229,0.4999971875721669
5.23,0.4999972444715665
5.231,0.4999973029511115
5.232,0.4999973630175759
5.233,0.4999974246776727
5.234,0.4999974879380555
5.235,0.4999975528053166
5.236,0.4999976192859878
5.237,0.4999976873865407
5.238,0.4999977571133864
5.239,0.4999978217266111
5.24,0.4999978817964061
5.241,0.4999979427834964
5.242,0.4999980046757287
5.243,0.4999980674607011
5.244,0.4999981311257645
5.245,0.4999981956580221
5.246,0.4999982610443282
5.247,0.4999983272712903
5.248,0.4999983943252676
5.249,0.4999984621923719
5.25,0.4999985308584665
5.251,0.4999986003091674
5.252,0.4999986705298425
5.253,0.4999987415056121
5.254,0.4999988132213483
5.255,0.4999988856616756
5.256,0.4999989588109707
5.257,0.4999990326533624
5.258,0.4999991071727317
5.259,0.4999991823527115
5.26,0.4999992581766875
5.261,0.4999993346277968
5.262,0.4999994116889291
5.263,0.4999994893427263
5.264,0.4999995675715821
5.265,0.4999996463576428
5.266,0.4999997256828066
5.267,0.4999998055287241
5.268,0.4999998858767978
5.269,0.4999999667081823
