"time","gFM_VSM_cc.measurementPcc.PGenPu","Upcc"
0,0,1
0.000632076,-0.1557657999363893,0.9499999998049915
0.000632076,-0.1557657999363893,0.9499999998049915
0.000632213,-0.1558287752727138,0.9500000001950132
0.000632213,-0.1558287752727138,0.9500000001950132
0.000635464,-0.1574302233549097,0.9499999998049991
0.000635464,-0.1574302233549097,0.9499999998049991
0.000635753,-0.1575638136105552,0.9500000001950456
0.000635753,-0.1575638136105552,0.9500000001950456
0.000638879,-0.1591143472687695,0.9499999998049966
0.000638879,-0.1591143472687695,0.9499999998049966
0.000639266,-0.1592941279453329,0.9500000001950237
0.000639266,-0.1592941279453329,0.9500000001950237
0.000642303,-0.1608100765651229,0.9499999998049908
0.000642303,-0.1608100765651229,0.9499999998049908
0.00064277,-0.1610277838282892,0.9500000001950563
0.00064277,-0.1610277838282892,0.9500000001950563
0.000645732,-0.1625154823827261,0.9499999998049831
0.000645732,-0.1625154823827261,0.9499999998049831
0.000646268,-0.162766680620862,0.9500000001950447
0.000646268,-0.162766680620862,0.9500000001950447
0.000649165,-0.1642297344411532,0.9499999998049619
0.000649165,-0.1642297344411532,0.9499999998049619
0.000649763,-0.1645116129565636,0.9500000001950419
0.000649763,-0.1645116129565636,0.9500000001950419
0.0006526,-0.1659523796351099,0.9499999998049283
0.0006526,-0.1659523796351099,0.9499999998049283
0.000653256,-0.1662630045777567,0.9500000001950132
0.000653256,-0.1662630045777567,0.9500000001950132
0.000656037,-0.1676831368818774,0.9499999998049067
0.000656037,-0.1676831368818774,0.9499999998049067
0.000656747,-0.1680211026160931,0.9500000001950074
0.000656747,-0.1680211026160931,0.9500000001950074
0.000659475,-0.1694218162184683,0.9499999998049198
0.000659475,-0.1694218162184683,0.9499999998049198
0.000660236,-0.1697860567663549,0.9500000001950722
0.000660236,-0.1697860567663549,0.9500000001950722
0.000662914,-0.1711682808513631,0.9499999998049542
0.000662914,-0.1711682808513631,0.9499999998049542
0.000663725,-0.1715579916577566,0.9500000001950883
0.000663725,-0.1715579916577566,0.9500000001950883
0.000666354,-0.1729224135938616,0.9499999998049885
0.000666354,-0.1729224135938616,0.9499999998049885
0.000667212,-0.1733369871946828,0.9500000001950308
0.000667212,-0.1733369871946828,0.9500000001950308
0.000669795,-0.1746841369893359,0.9499999998049889
0.000669795,-0.1746841369893359,0.9499999998049889
0.000670699,-0.1751230760722747,0.950000000195074
0.000670699,-0.1751230760722747,0.950000000195074
0.000673237,-0.1764533813983225,0.9499999998049852
0.000673237,-0.1764533813983225,0.9499999998049852
0.000674185,-0.1769163108983848,0.9500000001950237
0.000674185,-0.1769163108983848,0.9500000001950237
0.000676679,-0.1782300870708124,0.9499999998049123
0.000676679,-0.1782300870708124,0.9499999998049123
0.000677671,-0.1787167391543651,0.950000000195058
0.000677671,-0.1787167391543651,0.950000000195058
0.000680121,-0.1800142039420229,0.9499999998049098
0.000680121,-0.1800142039420229,0.9499999998049098
0.000681156,-0.1805243695279655,0.9500000001950509
0.000681156,-0.1805243695279655,0.9500000001950509
0.000683564,-0.1818056882636905,0.9499999998048835
0.000683564,-0.1818056882636905,0.9499999998048835
0.000684641,-0.1823392139985901,0.9500000001951271
0.000684641,-0.1823392139985901,0.9500000001951271
0.000687007,-0.1836044956331741,0.9499999998049042
0.000687007,-0.1836044956331741,0.9499999998049042
0.000688126,-0.1841612945755362,0.9500000001950065
0.000688126,-0.1841612945755362,0.9500000001950065
0.00069045,-0.185410584474907,0.9499999998048854
0.00069045,-0.185410584474907,0.9499999998048854
0.000691611,-0.1859906141070952,0.9500000001950788
0.000691611,-0.1859906141070952,0.9500000001950788
0.000693894,-0.1872239288264558,0.9499999998049989
0.000693894,-0.1872239288264558,0.9499999998049989
0.000695095,-0.1878271885921318,0.9500000001950266
0.000695095,-0.1878271885921318,0.9500000001950266
0.000697337,-0.189044487843426,0.9499999998048363
0.000697337,-0.189044487843426,0.9499999998048363
0.000698579,-0.1896710194003772,0.9500000001951007
0.000698579,-0.1896710194003772,0.9500000001951007
0.000700781,-0.1908722455525578,0.9499999998049568
0.000700781,-0.1908722455525578,0.9499999998049568
